 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 26 27 26 26 26 26 26 26 27 27 27 27 27 27 27 27 28 29 28 29 29 29 28 29 29 30 29 30 29 29 29 29 30 30 30 30 30 30 30 30 30 30 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 32 33 33 33 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 36 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 35 35 35 35 35 35 35 35 36 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 37 37 37 37 37 37 36 36 37 36 37 37 37 37 37 37 37 37 14 14 14 14 14 14 14 15 15 15 15 16 16 16 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 17 17 18 18 18 18 18 18 19 19 19 19 19 19 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 22 22 21 21 21 21 21 21 21 22 22 22 22 22 22 23 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 28 27 27 27 27 26 26 26 26 26 26 26 27 27 27 27 27 27 27 28 28 29 28 28 29 28 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 29 29 30 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 33 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 35 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 36 37 37 37 37 37 37 37 37 37 37 37 36 36 37 36 36 37 37 37 37 37 37 14 15 15 14 14 14 14 15 15 15 15 16 16 16 16 16 15 16 16 16 16 16 16 16 16 17 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 17 18 18 18 18 19 18 18 19 19 18 18 18 18 17 18 18 18 18 18 18 19 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 22 22 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 23 23 23 24 24 23 23 24 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 26 26 26 26 26 26 27 27 27 27 27 27 27 28 28 29 29 28 28 28 29 29 29 30 30 29 29 30 30 30 30 30 30 30 30 30 30 30 30 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 31 30 31 31 33 33 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 35 34 34 34 34 34 34 35 35 35 35 34 34 35 35 35 35 35 35 35 35 35 35 35 36 36 35 36 36 36 36 36 36 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 36 37 37 37 37 38 37 14 14 14 14 15 15 15 15 16 15 16 15 15 15 16 16 15 15 15 15 15 16 16 16 16 16 16 17 17 17 17 17 18 18 18 17 17 17 18 18 17 17 17 17 18 18 18 18 19 19 19 19 19 19 19 18 18 18 18 18 18 19 19 18 18 18 19 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 22 22 22 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 24 24 24 24 24 23 23 23 23 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 26 26 26 26 26 26 26 26 27 27 27 27 27 27 28 28 29 29 28 28 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 29 29 30 30 30 30 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 33 33 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 35 34 34 35 34 34 34 35 35 35 35 35 35 35 35 35 36 36 36 35 35 35 35 35 35 35 35 35 36 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 37 37 37 37 37 37 14 14 14 13 14 14 14 14 14 15 15 15 15 14 15 15 15 15 16 16 16 17 17 17 17 16 16 16 17 17 17 17 18 18 18 18 17 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 19 19 19 19 18 18 18 18 19 19 19 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 21 21 21 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 24 24 24 24 24 24 24 23 23 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 28 28 27 27 27 26 26 26 26 26 26 27 27 27 27 27 27 28 28 29 29 28 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 33 33 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 34 34 34 34 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 36 36 36 36 36 36 37 37 36 36 37 37 37 37 37 37 37 14 14 13 13 13 13 13 14 14 14 15 15 14 15 15 15 15 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 20 19 19 19 19 19 19 19 19 19 18 18 19 19 19 20 20 19 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 22 22 21 22 22 22 22 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 28 28 28 27 27 27 26 26 26 26 26 26 27 27 27 27 27 28 28 29 28 28 29 29 29 29 29 30 30 29 29 29 30 29 30 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 33 33 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 34 34 35 35 35 36 36 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 36 36 36 36 36 36 36 37 37 37 36 36 37 37 37 37 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 14 14 14 14 14 13 13 14 15 14 15 15 15 14 14 15 15 16 16 16 16 17 17 17 17 17 17 17 17 17 17 18 18 17 18 18 18 18 18 18 18 18 18 18 19 18 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 19 19 18 19 19 19 19 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 24 24 24 25 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 26 27 27 27 27 27 28 28 27 27 27 27 27 27 27 26 27 27 27 27 27 28 28 29 28 28 29 29 29 29 29 29 30 29 29 29 29 29 29 29 30 30 30 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 33 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 35 36 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 36 36 36 36 36 37 36 36 36 36 36 36 37 36 37 37 36 36 36 36 36 36 36 37 36 36 36 36 37 37 37 37 14 15 13 13 14 15 15 14 15 15 15 14 15 15 15 15 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 20 19 19 19 19 20 20 20 20 20 20 20 19 19 19 19 19 19 20 21 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 23 23 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 24 24 25 25 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 26 27 27 27 28 28 28 28 28 28 29 29 29 29 29 29 29 30 30 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 33 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 34 34 34 34 34 34 35 35 36 36 36 36 35 36 35 35 35 34 34 34 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 36 36 37 37 36 36 36 36 36 37 37 36 36 36 37 37 37 37 37 37 14 13 14 15 15 14 14 14 14 15 15 16 15 16 16 16 16 17 17 18 18 18 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 19 18 19 19 19 19 19 19 20 19 20 20 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 23 23 23 23 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 24 24 24 25 25 24 24 25 24 24 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 34 34 34 35 35 35 36 36 36 36 36 36 36 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 36 35 35 35 36 36 36 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 37 37 37 36 36 37 37 37 37 36 36 36 37 37 37 37 37 15 14 13 14 15 14 14 15 15 15 16 16 16 16 17 17 17 17 17 18 18 18 18 18 18 17 17 17 17 17 17 17 18 18 18 18 18 18 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 19 19 19 19 19 20 20 21 21 20 20 21 21 21 21 21 20 20 21 21 21 21 21 21 22 21 21 22 22 22 22 22 22 22 22 23 23 23 22 22 22 22 23 22 23 23 23 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 24 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 29 29 29 29 30 29 29 30 30 30 30 30 30 30 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 33 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 34 35 35 35 35 35 36 36 36 36 36 36 35 35 35 35 35 35 35 35 35 36 36 36 37 37 37 38 37 36 35 35 36 37 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 36 36 36 36 36 36 36 36 37 37 37 37 37 36 37 37 37 37 37 36 37 37 37 37 37 37 37 14 14 14 15 15 15 15 15 16 16 17 18 18 18 18 18 18 18 18 18 18 19 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 19 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 23 23 22 22 22 22 22 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 27 27 27 27 27 27 27 28 28 29 28 29 28 28 29 29 30 30 29 29 30 30 30 30 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 30 30 30 31 31 30 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 35 36 35 35 35 35 35 36 37 38 37 37 37 38 37 37 36 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 36 36 37 37 37 37 37 37 37 37 14 15 15 15 15 15 16 16 17 17 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 21 21 20 19 19 20 20 20 20 19 19 19 20 20 21 21 21 21 22 21 22 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 23 23 23 23 22 22 22 23 23 23 23 23 23 24 24 24 24 24 24 24 24 25 25 25 25 24 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 27 27 27 27 27 27 27 28 29 29 28 29 28 29 29 29 29 29 29 29 29 29 30 30 30 29 30 30 30 30 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 30 30 30 30 30 31 31 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 34 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 34 35 35 35 35 35 35 36 35 35 35 36 36 36 36 36 36 36 36 36 36 36 35 36 36 36 36 37 36 36 36 37 37 37 37 36 36 36 36 37 37 36 36 36 36 36 36 36 36 36 37 37 36 36 37 37 37 37 37 36 37 37 37 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 36 36 37 37 37 37 37 37 37 37 37 15 15 15 16 16 16 16 17 17 17 17 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 18 19 18 18 18 18 18 19 19 19 19 20 19 19 19 19 20 20 19 20 20 19 19 20 20 20 20 19 20 21 21 21 20 19 19 19 19 20 20 20 21 21 21 21 21 20 21 21 21 21 22 22 22 22 22 23 23 23 22 22 23 23 23 23 23 22 22 22 23 23 23 23 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 29 29 28 29 29 29 29 28 28 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 30 30 30 30 30 30 30 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 36 36 36 37 37 37 36 36 36 36 36 36 36 36 36 37 37 36 37 37 37 37 37 36 36 37 37 36 36 36 37 36 36 37 37 37 37 37 37 37 37 37 37 36 36 36 37 37 37 37 37 37 37 37 37 38 15 15 16 16 16 16 17 17 17 17 18 18 18 18 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 19 20 20 20 19 20 20 20 20 20 21 21 21 20 20 21 20 20 20 21 20 20 20 21 20 20 21 21 22 22 21 21 21 21 20 20 20 20 20 21 20 21 21 21 21 21 21 21 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 22 23 23 23 23 24 24 24 24 24 24 24 24 24 24 25 25 26 26 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 29 29 29 29 30 29 30 30 29 30 30 30 30 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 30 30 30 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 36 36 36 36 36 36 36 35 36 36 36 36 36 36 36 36 36 36 37 37 37 37 38 38 37 37 37 37 36 36 36 37 37 37 37 37 37 37 37 36 36 37 37 37 36 36 37 37 37 36 36 36 38 37 37 36 36 37 36 36 37 37 37 37 37 37 37 37 37 37 36 36 36 37 37 37 37 38 37 37 37 38 38 15 15 15 16 16 16 17 17 17 18 18 18 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 21 21 20 20 20 20 20 20 21 21 21 21 21 21 21 20 20 20 20 21 21 21 21 20 21 21 21 22 22 22 22 22 21 21 20 21 21 21 21 21 22 22 21 22 21 21 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 26 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 27 27 27 27 27 28 28 28 28 28 28 28 28 28 29 29 28 29 29 30 29 30 30 29 29 29 30 30 30 30 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 30 30 30 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 36 36 36 36 35 35 35 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 37 37 37 37 37 37 37 36 36 37 36 36 36 36 37 37 37 36 36 36 37 38 37 37 36 36 36 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 37 37 37 38 37 37 37 37 38 16 15 15 16 16 17 17 17 18 18 18 19 19 18 19 19 19 19 20 20 20 20 20 20 20 20 20 21 21 21 21 21 20 20 20 20 20 21 21 21 21 21 21 21 21 20 21 20 21 21 22 21 21 21 21 22 22 22 22 22 22 22 21 21 21 21 21 21 21 22 22 22 21 22 21 22 22 22 22 22 23 23 23 23 23 23 23 24 23 23 23 24 23 23 24 23 24 24 24 24 24 24 24 25 25 25 25 25 25 25 26 26 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 29 28 28 28 28 28 29 29 29 30 29 29 29 29 29 29 30 30 29 29 30 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 30 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 33 34 33 33 34 33 33 33 34 33 34 35 35 35 35 35 36 36 36 36 36 36 35 35 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 36 36 37 37 37 37 37 37 37 37 37 37 37 37 36 36 37 37 36 36 36 36 37 38 38 38 37 37 37 36 37 37 37 37 37 37 37 37 37 37 36 36 36 36 37 37 37 37 37 37 37 38 16 16 16 16 17 17 18 18 18 18 18 18 18 19 19 19 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 20 21 20 21 21 21 21 21 21 21 21 21 20 20 20 21 21 21 22 22 21 20 21 22 22 22 22 23 22 22 22 21 21 21 21 22 22 22 22 21 21 21 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 24 23 23 24 23 23 24 24 24 24 24 24 25 25 25 25 25 25 25 26 26 26 26 26 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 30 29 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 30 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 33 33 33 35 36 36 36 36 36 36 36 36 36 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 36 37 37 37 37 37 37 37 37 37 37 37 37 37 36 37 37 37 36 36 36 37 38 38 38 38 38 37 37 36 37 37 36 36 36 37 37 37 36 36 37 37 37 37 37 37 37 37 37 37 37 38 17 17 17 17 17 17 17 17 17 18 18 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 21 21 21 22 22 22 22 21 21 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 24 23 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 26 26 26 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 28 28 29 30 30 30 30 29 29 29 30 30 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 36 36 36 36 36 36 36 36 36 36 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 36 36 36 36 37 38 38 38 38 37 37 37 37 36 36 36 36 37 37 37 37 36 37 37 37 37 37 37 37 38 37 37 37 37 38 16 17 17 17 17 17 17 17 18 18 19 19 20 20 20 20 20 20 20 20 21 21 21 21 20 20 20 20 21 21 21 21 21 21 22 21 21 21 21 21 21 21 21 21 21 21 21 21 21 20 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 21 22 21 21 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 27 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 29 29 29 29 30 29 29 28 29 29 29 29 30 29 29 30 30 30 30 29 29 29 30 30 30 30 30 30 30 30 30 30 31 30 31 31 31 31 31 30 30 30 31 32 32 32 32 32 33 33 33 33 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 