 1 1 2 1 0 1 1 2 2 2 2 2 2 1 1 1 2 2 3 3 3 3 3 3 3 3 3 2 2 2 3 2 3 2 2 2 2 2 2 2 44 42 41 42 41 40 39 39 39 39 38 37 37 37 38 38 39 39 38 37 35 34 34 33 32 31 32 32 32 32 31 31 31 31 30 30 30 30 30 29 29 28 28 28 28 27 27 27 27 26 26 26 26 25 25 25 25 25 24 24 24 23 23 23 23 23 23 23 23 23 22 22 22 21 21 21 21 21 20 20 20 20 20 19 19 19 19 18 18 18 18 17 17 16 16 16 16 16 16 16 16 15 15 15 15 15 14 14 14 14 13 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 9 9 9 9 9 9 10 10 9 9 9 9 9 9 8 8 8 8 8 8 7 7 7 7 7 7 7 6 6 6 6 6 5 5 5 6 6 5 5 4 4 4 4 3 3 3 3 3 3 4 3 3 3 3 3 2 3 4 4 4 4 4 4 4 4 3 4 3 3 3 3 3 3 4 4 3 4 4 3 3 2 2 2 2 3 2 1 1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0 1 1 2 2 2 2 1 1 1 2 2 2 2 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 2 2 2 2 44 43 43 43 42 41 40 40 40 39 38 37 37 37 37 36 38 38 37 36 35 34 34 33 32 32 32 32 32 32 32 31 31 31 31 30 30 30 30 30 29 29 28 28 28 28 27 27 27 27 27 26 26 26 25 25 25 25 25 24 24 24 24 23 23 23 23 23 23 23 23 22 22 22 22 21 21 21 21 20 20 20 20 20 19 19 19 19 18 18 18 17 17 17 17 17 16 16 16 16 16 16 15 15 15 15 15 14 14 14 13 13 13 13 13 13 13 13 13 13 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 10 9 9 9 9 9 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 5 5 4 4 4 4 4 3 3 4 3 4 4 4 3 3 3 3 2 3 4 4 4 3 4 4 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 3 3 3 2 2 3 3 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 3 4 3 3 2 2 2 2 2 2 1 2 2 2 3 3 2 2 2 1 2 2 3 44 44 44 42 41 40 39 39 39 39 39 37 36 36 37 36 37 38 36 34 33 33 33 32 32 32 32 32 32 32 32 31 31 31 31 30 30 30 30 29 29 29 28 28 28 28 27 27 27 27 26 26 26 26 26 25 25 25 24 24 24 24 24 24 23 23 23 23 23 23 23 22 22 22 22 21 21 21 21 20 20 20 20 20 20 19 19 18 18 18 17 17 17 17 17 17 17 16 16 16 16 16 15 15 15 15 15 14 14 13 13 13 13 13 13 13 13 13 13 13 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 10 10 9 10 10 10 10 10 10 9 9 9 9 8 8 8 8 8 8 8 7 7 8 7 7 7 7 6 6 6 6 6 6 6 5 5 5 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 3 3 3 3 2 2 2 1 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 1 1 1 2 2 3 2 2 1 1 2 2 3 44 44 44 44 42 41 41 41 41 41 40 39 38 37 36 36 37 38 38 37 35 34 34 33 33 32 33 33 32 32 32 32 32 31 31 31 31 30 30 30 29 29 29 28 28 28 28 27 27 27 27 27 27 26 26 26 25 25 25 24 24 24 25 24 24 24 24 23 23 23 23 23 22 22 22 22 21 21 21 21 21 20 20 20 20 20 19 19 18 18 18 17 17 17 17 17 17 17 16 16 16 16 16 16 15 15 16 15 15 14 13 13 13 13 14 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 10 9 10 10 10 10 10 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 7 7 7 7 7 6 7 6 6 6 6 6 6 5 5 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 4 4 4 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 3 3 2 2 2 2 1 2 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 2 2 2 2 3 2 3 2 2 2 3 2 3 3 3 3 3 3 2 2 2 3 3 2 2 2 2 1 1 2 2 1 1 1 2 2 2 3 44 44 43 42 41 42 43 43 43 42 41 40 39 37 37 36 35 36 36 36 35 34 34 33 33 33 33 33 33 33 32 32 32 32 31 31 31 31 30 30 29 29 29 29 28 28 28 28 27 27 27 27 27 27 26 26 26 25 25 25 24 25 24 24 24 24 24 23 23 23 23 23 22 22 22 22 22 21 21 21 21 20 20 20 20 20 19 19 19 18 18 18 18 17 17 17 17 17 17 16 16 16 16 16 15 15 15 15 15 14 14 13 14 14 14 14 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 7 7 7 7 7 6 6 6 6 6 6 6 6 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 4 4 4 4 4 4 3 3 3 3 3 3 3 3 4 4 4 4 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 2 2 2 3 3 2 2 2 2 3 3 4 4 4 4 3 3 3 3 3 3 3 3 2 1 1 1 2 2 1 2 2 2 3 3 3 3 3 2 45 45 44 43 42 43 43 42 41 41 41 40 39 38 37 37 36 36 35 34 34 34 34 33 33 33 33 33 33 33 33 32 32 32 32 31 31 31 31 30 30 29 29 29 29 28 28 28 28 27 27 27 27 27 26 26 26 25 25 25 25 25 24 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 20 20 20 20 19 19 19 19 18 18 18 18 17 17 17 17 17 17 16 16 16 16 16 15 15 15 15 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 11 10 10 10 10 10 10 10 10 9 9 9 9 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 6 6 6 6 6 6 6 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 3 4 3 3 4 4 3 4 4 4 3 3 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 2 1 2 1 0 1 1 2 1 2 2 3 3 3 3 3 2 3 2 2 3 3 3 3 3 4 3 4 4 3 4 3 3 2 2 1 1 1 1 1 1 2 2 3 2 3 2 2 2 2 45 44 43 43 43 43 43 42 41 40 39 39 38 37 37 37 36 36 35 35 34 34 34 34 34 34 33 33 33 33 33 32 32 32 32 31 31 31 31 30 30 29 29 29 29 28 28 28 27 27 27 27 27 26 26 26 25 25 25 25 25 25 24 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 20 20 20 20 19 19 19 18 19 18 18 17 17 17 17 17 17 16 16 16 16 16 16 16 15 15 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 11 10 10 10 10 10 10 9 10 9 9 9 9 8 8 8 9 9 9 8 8 8 8 7 7 7 7 7 7 7 6 6 6 6 6 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 2 2 1 1 2 2 2 2 1 2 2 3 3 3 3 3 3 3 3 4 4 3 3 3 3 3 3 4 4 4 4 3 3 2 2 1 2 2 1 1 1 1 1 2 2 2 2 2 2 1 1 45 44 44 45 45 44 43 41 40 40 39 39 39 39 38 37 36 35 35 34 34 34 34 34 34 34 33 33 33 33 32 32 32 32 31 31 31 31 30 30 30 29 29 29 28 28 28 28 27 27 27 27 27 26 26 26 26 25 25 25 25 25 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 20 20 20 20 20 19 19 19 19 19 18 18 18 17 17 16 16 16 16 16 16 16 16 16 16 15 15 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 11 11 10 10 10 9 9 9 9 9 9 8 8 9 9 9 9 9 8 8 7 7 7 7 7 7 7 7 6 6 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 3 3 2 3 3 3 4 4 3 3 2 2 2 2 3 2 2 2 1 0 1 1 1 2 2 2 2 1 2 2 46 45 45 45 44 43 42 41 41 40 40 39 39 39 37 36 35 35 34 34 34 34 34 34 34 34 33 33 33 33 32 32 32 32 31 31 31 30 30 30 29 29 29 29 28 28 28 28 28 27 27 27 27 26 26 26 25 25 25 25 25 25 24 24 24 24 24 23 23 23 23 23 22 22 22 22 21 21 21 21 21 21 20 20 20 19 19 19 19 19 19 18 18 18 17 17 16 16 16 17 16 17 16 16 16 15 15 15 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 11 11 11 11 11 11 10 10 11 11 11 10 10 10 10 10 10 10 10 9 9 9 8 8 8 9 9 8 8 8 8 8 7 7 7 7 7 7 6 6 6 6 6 6 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 5 4 4 4 4 4 4 5 4 3 3 4 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 2 3 3 4 4 4 4 4 5 4 4 4 3 3 3 3 4 3 3 2 3 3 3 2 2 4 4 3 3 2 2 1 1 1 1 2 2 1 1 2 2 3 45 44 43 42 42 41 41 40 40 39 38 38 38 37 36 35 34 34 35 34 34 34 34 34 34 33 33 33 33 32 32 32 32 31 31 31 30 30 30 30 29 29 29 29 28 28 28 27 27 27 26 26 26 26 26 26 25 25 25 25 24 24 24 24 24 23 23 23 23 23 22 22 22 22 22 22 21 21 21 21 20 20 20 20 19 19 19 19 19 19 18 18 17 17 16 16 16 16 16 17 16 16 16 15 15 15 15 15 15 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 10 10 11 11 10 10 10 10 10 10 10 10 10 10 9 9 8 8 9 9 9 8 8 8 8 8 7 7 7 7 7 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 4 4 4 4 4 4 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 1 1 2 2 1 2 2 3 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 3 3 4 3 3 4 4 4 3 2 2 3 3 2 2 3 3 3 3 3 3 2 2 2 1 1 2 1 1 2 2 3 3 3 43 43 42 42 41 40 39 38 37 37 37 36 35 35 35 35 35 35 34 34 34 34 33 33 33 33 33 32 32 32 31 31 31 31 30 30 30 29 29 29 29 28 28 28 27 27 27 26 26 26 26 26 26 25 25 25 25 25 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 21 20 20 20 20 19 19 19 19 19 18 18 18 17 17 16 16 16 17 17 17 16 16 15 15 15 15 15 15 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 11 11 11 11 11 10 11 11 11 11 11 11 10 10 10 10 10 10 10 9 9 8 9 9 9 8 8 8 8 8 7 7 7 7 7 7 7 6 6 6 6 6 5 5 5 5 5 5 5 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 2 2 3 2 2 3 2 2 3 3 4 3 3 3 3 4 4 4 4 3 3 3 3 3 4 3 3 3 3 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 1 2 1 1 2 2 2 2 3 3 3 43 43 42 41 40 39 38 37 36 36 36 35 35 35 35 35 34 34 34 34 34 33 33 33 33 32 32 32 31 31 31 31 30 30 30 29 29 29 29 28 28 28 27 27 27 27 27 26 26 26 26 26 25 25 25 24 24 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 21 20 20 20 19 19 19 19 19 19 18 18 18 17 16 16 16 16 16 17 16 16 16 16 16 15 15 15 15 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 9 9 9 9 9 9 9 9 8 8 8 8 7 7 7 7 7 7 7 6 6 7 6 6 5 5 5 5 5 4 4 4 4 4 4 4 4 5 5 5 5 5 5 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 3 3 2 2 2 2 3 2 2 2 2 2 1 1 1 1 2 2 2 2 3 3 3 2 3 3 4 4 5 5 5 4 4 4 4 3 3 3 3 2 2 2 2 2 3 3 4 3 2 2 2 2 2 1 1 2 1 2 1 1 2 1 2 3 3 3 3 3 44 43 42 41 40 39 38 37 36 35 35 35 35 35 35 35 35 34 34 34 34 33 33 33 33 32 32 32 32 31 31 31 30 30 30 30 29 29 29 28 28 27 27 27 27 27 27 27 26 26 26 26 25 25 25 24 24 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 21 20 20 20 19 20 20 19 19 19 18 18 18 18 17 16 16 16 17 17 17 16 16 16 16 15 15 15 15 15 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 11 11 11 11 11 11 11 11 10 9 9 9 9 9 9 9 9 9 8 8 8 8 7 7 7 7 7 7 7 7 7 6 7 6 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 2 3 2 2 2 2 2 3 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 3 3 3 2 1 1 1 1 1 1 1 1 0 0 1 1 2 2 2 2 2 3 42 42 41 40 39 38 37 37 36 35 35 35 35 35 35 35 34 34 34 34 34 33 33 33 33 32 32 32 31 31 31 31 30 30 30 29 29 29 28 28 27 27 27 27 27 27 27 26 26 26 27 26 25 25 25 24 24 24 24 24 23 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 20 20 20 19 19 20 19 19 19 19 19 18 18 18 17 16 16 16 17 17 17 17 17 16 16 15 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 12 12 12 12 12 12 11 11 11 12 11 11 11 11 11 11 11 11 11 11 10 10 10 9 9 9 9 9 9 9 8 8 8 8 8 7 7 7 7 7 7 7 7 6 7 6 6 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 5 5 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 3 3 2 3 2 2 3 2 3 2 2 2 2 2 2 2 3 3 3 4 4 3 3 3 3 4 4 3 3 3 4 4 4 3 2 3 2 2 2 2 2 1 2 1 1 2 2 2 1 1 1 0 1 1 2 2 2 2 2 2 3 42 41 41 40 39 38 37 37 36 35 35 35 35 35 35 35 34 34 34 34 34 33 33 33 32 32 32 32 31 31 30 30 30 30 29 29 29 28 28 28 27 27 27 27 27 27 27 26 26 27 26 26 26 25 25 24 25 25 24 23 23 23 23 23 23 23 22 22 22 22 22 22 21 21 21 21 20 20 20 20 20 20 20 19 19 19 18 18 18 18 17 16 16 17 17 17 17 17 16 16 16 15 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 12 12 12 12 12 12 11 11 12 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 9 9 9 9 9 9 8 8 8 8 8 8 8 7 7 7 7 7 7 6 6 6 6 5 5 5 5 5 6 5 5 5 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 4 4 3 3 3 3 3 3 3 2 2 2 3 2 2 2 2 3 3 4 4 4 4 4 3 4 4 4 3 3 4 4 4 3 3 3 3 3 3 2 2 2 3 3 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 3 42 41 40 39 39 38 37 36 36 35 35 35 35 35 35 35 35 34 34 34 34 33 33 33 33 32 32 32 31 31 30 30 30 30 29 29 29 28 28 28 28 27 27 27 27 26 26 26 26 26 26 26 26 26 25 25 25 25 24 24 23 23 23 23 23 23 23 23 22 22 22 22 21 21 21 21 20 20 20 20 19 20 20 19 19 19 19 18 18 18 17 17 17 17 17 17 17 17 16 16 16 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 12 12 12 12 12 12 11 12 12 12 11 11 11 11 11 11 11 11 10 10 10 10 10 10 10 9 9 9 9 8 8 8 8 8 8 8 8 8 8 7 7 7 6 6 6 5 5 5 5 5 6 6 5 5 5 5 4 5 5 4 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 2 2 2 2 2 2 2 3 3 3 4 4 4 3 4 4 4 4 3 3 3 3 3 3 3 3 3 2 3 3 4 4 4 5 4 4 4 4 4 4 3 4 4 4 3 3 3 3 3 2 3 2 3 3 4 4 3 2 2 2 1 1 1 1 1 1 2 2 2 2 2 3 40 39 38 38 37 36 36 35 35 35 35 35 35 35 35 34 34 34 34 33 33 33 33 32 32 32 31 31 30 30 30 30 30 29 29 28 28 28 28 27 27 27 27 27 26 26 26 26 26 26 26 26 26 25 25 25 25 25 24 24 24 24 23 23 23 23 23 22 22 22 21 21 21 21 21 20 20 20 19 20 19 19 19 19 19 19 19 18 18 18 17 17 17 17 17 17 17 16 16 16 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 11 11 11 11 11 11 11 10 10 10 10 10 10 10 9 9 9 9 9 9 8 8 8 8 8 8 8 7 7 7 7 7 6 6 5 5 5 6 6 6 6 6 5 5 5 5 5 5 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 2 2 3 3 3 3 3 4 4 3 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 4 5 4 4 4 5 5 5 5 4 4 4 4 5 4 4 3 3 3 4 3 3 3 3 3 3 4 4 3 3 2 1 1 1 1 1 1 3 2 3 3 3 39 39 38 38 37 37 36 36 35 35 35 35 35 35 35 35 35 34 34 34 34 33 33 33 33 32 32 31 31 31 30 30 30 30 29 29 29 28 28 28 28 27 27 27 27 27 26 26 26 26 26 26 26 26 25 25 25 25 24 24 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 21 20 20 19 19 19 19 19 19 19 19 19 19 18 18 17 17 17 17 17 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 11 11 11 12 11 11 11 10 10 10 10 10 10 10 9 9 9 9 9 9 9 8 8 8 8 8 7 8 8 7 7 7 6 6 5 6 6 6 6 6 6 5 5 5 5 5 5 5 4 5 4 4 4 5 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 2 2 2 3 3 4 4 4 3 4 4 5 5 4 4 5 5 5 5 4 4 4 4 4 4 5 5 5 5 4 4 4 4 5 5 5 5 4 4 5 4 4 3 3 3 4 4 3 3 4 4 4 3 3 2 2 2 2 2 1 2 2 1 2 2 3 3 3 38 38 37 37 37 37 36 36 36 36 36 35 35 35 35 34 34 34 34 33 33 33 33 32 32 32 31 31 31 30 30 30 30 29 29 29 28 28 28 28 28 27 27 27 27 26 26 26 26 26 26 26 25 25 25 25 25 24 24 24 23 23 23 23 23 23 23 22 22 22 22 22 21 21 21 20 20 20 20 20 20 20 19 19 19 19 18 18 18 17 17 17 17 17 17 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 14 14 14 14 14 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 11 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 7 7 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 4 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 5 4 3 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 4 4 5 5 4 5 4 4 4 4 4 5 5 5 5 4 4 3 4 4 4 4 3 3 4 4 3 3 3 2 2 2 2 2 2 2 2 2 2 2 3 3 3 39 39 38 37 37 36 36 36 36 36 36 36 35 35 35 35 34 34 34 33 33 33 33 33 32 32 32 31 31 30 30 30 30 30 29 29 29 28 28 28 28 28 27 27 27 26 26 26 26 26 26 25 25 25 25 25 25 25 25 24 24 23 23 23 23 23 23 22 22 22 22 22 21 21 21 20 20 20 20 20 20 20 20 19 19 18 18 18 19 19 18 17 18 18 17 17 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 11 11 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 8 8 8 8 8 7 7 7 6 6 6 6 6 6 6 6 6 6 6 5 6 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 3 3 3 4 3 3 3 3 3 3 4 4 3 3 4 3 3 3 3 4 4 4 4 3 3 3 3 3 4 5 5 5 5 4 4 5 5 5 5 5 5 4 5 5 4 5 5 4 4 4 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 2 2 2 2 2 2 2 2 2 2 3 3 3 37 37 36 36 36 36 36 36 36 36 36 35 35 35 34 34 34 34 33 33 33 33 32 32 32 31 31 31 30 30 30 30 29 29 29 29 28 28 28 28 28 27 27 27 27 26 26 25 25 25 25 25 25 25 25 25 25 24 24 23 23 23 22 22 22 22 22 22 22 22 22 21 21 20 20 20 20 20 20 20 20 19 19 19 19 19 19 19 18 18 17 17 17 17 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 12 12 13 13 12 12 12 12 12 12 12 12 12 11 11 11 11 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 8 8 8 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 4 5 4 4 4 4 4 4 4 4 3 3 4 4 4 3 3 3 3 4 4 3 3 3 4 4 3 3 4 4 4 4 3 3 4 4 3 4 4 5 5 5 4 4 5 5 5 4 5 5 5 4 4 4 5 4 4 4 4 4 4 5 5 5 4 4 4 5 5 5 5 5 5 5 5 4 4 3 2 2 2 2 2 3 3 3 3 3 3 2 3 38 37 37 37 37 37 36 36 36 36 36 35 35 35 34 34 34 34 34 33 33 33 33 32 32 32 31 31 31 31 30 30 30 29 29 29 29 28 28 28 28 27 27 27 27 26 26 26 26 25 25 25 25 25 25 25 25 24 24 23 23 23 23 22 22 22 22 21 21 21 21 22 21 21 20 20 20 20 20 20 20 20 19 19 18 18 19 19 19 18 18 17 17 17 17 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 12 12 12 12 12 12 12 12 11 11 11 11 11 11 10 11 10 10 9 10 9 9 9 9 9 9 9 8 8 8 8 8 8 8 7 7 7 7 6 6 6 6 6 6 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 3 4 4 4 3 4 3 3 4 4 4 3 4 3 3 4 5 5 4 5 5 5 6 5 5 4 4 5 5 4 5 5 5 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 6 5 5 4 3 3 3 3 3 2 2 2 2 3 2 3 3 2 3 38 37 37 37 37 37 37 36 36 36 36 35 35 35 35 34 34 34 34 33 33 33 33 32 32 32 32 31 31 31 30 30 30 30 29 29 29 28 28 28 28 28 27 27 27 27 26 26 26 26 25 25 25 25 25 25 25 25 24 24 24 23 23 23 22 22 22 21 21 22 22 22 22 21 20 20 20 20 20 20 19 19 19 19 19 19 19 19 19 19 19 18 17 17 17 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 11 11 10 10 10 9 9 9 9 9 9 9 9 9 9 9 8 8 8 9 7 7 7 7 6 6 6 6 6 6 7 7 7 6 6 6 6 6 5 6 5 5 5 5 5 5 5 5 5 5 5 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 4 4 4 4 4 4 5 5 4 5 5 5 4 5 5 4 5 5 5 5 4 4 4 4 5 5 5 4 4 4 5 5 6 5 5 5 5 5 5 5 5 5 4 4 4 4 4 3 3 2 2 2 2 2 2 3 3 3 39 38 38 37 37 37 37 36 36 36 36 36 36 36 35 35 35 35 34 34 34 34 33 33 33 32 32 32 32 31 31 31 30 30 30 30 29 29 29 29 28 28 28 28 28 27 27 27 27 26 26 26 26 25 25 25 25 25 25 25 25 24 24 24 23 23 23 23 22 21 21 21 22 22 21 21 21 21 20 20 20 20 19 19 19 19 19 19 19 19 19 19 18 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15